Options: Namespace(adapt_features=True, batch_normalisation='basic', batch_size=4, checkpoint_dir='checkpoint/runorbit_v2', classifier='versa', clip_length=8, context_shot=5, context_video_type='clean', data_path='../dataset/orbit_benchmark_224', epochs=10, feature_adaptation_method='generate', feature_extractor='efficientnetb0', frame_size=224, gpu=0, learn_extractor=False, learning_rate=0.0001, mode='train_test', model_path=None, no_preload_clips=False, num_lite_samples=4, preload_clips=True, pretrained_extractor_path='features/pretrained/efficientnetb0_imagenet_224.pth', print_by_step=True, subsample_factor=1, target_shot=2, target_video_type='clutter', tasks_per_batch=16, test_context_num_clips=8, test_context_shot_method='max', test_set='test', test_target_num_clips='max', test_target_shot_method='max', test_tasks_per_user=5, test_way_method='max', train_context_num_clips=4, train_context_shot_method='random', train_object_cap=15, train_target_num_clips=4, train_target_shot_method='random', train_task_type='user_centric', train_tasks_per_user=50, train_way_method='random', use_two_gpus=False, validation_on_epoch=5, with_lite=True, with_train_shot_caps=False)

Checkpoint Directory: checkpoint/runorbit_v2/2021-11-02-22-07-56

epoch [1/10][125/2200], train loss: 1.4560750, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][126/2200], train loss: 48.0739479, frame_acc: 75.00, time/task: 0m05s
epoch [1/10][127/2200], train loss: 39.5334778, frame_acc: 25.00, time/task: 0m06s
epoch [1/10][128/2200], train loss: 46.5463295, frame_acc: 75.00, time/task: 0m06s
epoch [1/10][129/2200], train loss: 3.0847421, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][130/2200], train loss: 382.3915710, frame_acc: 50.00, time/task: 0m15s
epoch [1/10][131/2200], train loss: 3.5665143, frame_acc: 75.00, time/task: 0m03s
epoch [1/10][132/2200], train loss: 19.5542107, frame_acc: 75.00, time/task: 0m03s
epoch [1/10][133/2200], train loss: 0.0113975, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][134/2200], train loss: 0.0000759, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][135/2200], train loss: 0.0001272, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][136/2200], train loss: 99.0958405, frame_acc: 75.00, time/task: 0m07s
epoch [1/10][137/2200], train loss: 0.0000759, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][138/2200], train loss: 0.0196190, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][139/2200], train loss: 1.5959920, frame_acc: 50.00, time/task: 0m01s
epoch [1/10][140/2200], train loss: 108.8113022, frame_acc: 100.00, time/task: 0m07s
epoch [1/10][141/2200], train loss: 3.1782577, frame_acc: 75.00, time/task: 0m05s
epoch [1/10][142/2200], train loss: 11.2297831, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][143/2200], train loss: 10.0567226, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][144/2200], train loss: 21.4914551, frame_acc: 50.00, time/task: 0m03s
epoch [1/10][145/2200], train loss: 3.8828776, frame_acc: 100.00, time/task: 0m02s
